item_id,item_name,skill_id,mid_figure,mid_fig_color,effect,target,cooldown,effect_value_min,effect_value_max,buy_level,buy_gold,sell_gold
book106,十字斬,csk106,skillbook.png,#A0A0A0,learn_skill,warrior,,,,15,13000,1300
book107,劍氣護體,csk107,skillbook.png,#A0A0A0,learn_skill,warrior,,,,17,15000,1500
book108,流星劍,csk108,skillbook.png,#A0A0A0,learn_skill,warrior,,,,20,18000,1800
book109,不屈意志,csk109,skillbook.png,#A0A0A0,learn_skill,warrior,,,,25,23000,2300
book110,蒼龍破,csk110,skillbook.png,#A0A0A0,learn_skill,warrior,,,,29,27000,2700
book111,戰士的自我修養 Lv.31,csk111,skillbook.png,#A0A0A0,learn_skill,warrior,,,,31,60000,
book201,火球術,csk201,skillbook.png,#A0A0A0,learn_skill,mage,,,,3,3000,300
book202,魔法之道,csk202,skillbook.png,#A0A0A0,learn_skill,mage,,,,5,5000,500
book203,豪大火球術,csk203,skillbook.png,#A0A0A0,learn_skill,mage,,,,8,8000,800
book204,寒冰之槍,csk204,skillbook.png,#A0A0A0,learn_skill,mage,,,,11,10000,1000
book205,法師的自我修養 Lv.11,csk205,skillbook.png,#A0A0A0,learn_skill,mage,,,,11,20000,
book206,冰牢,csk206,skillbook.png,#A0A0A0,learn_skill,mage,,,,15,13000,1300
book207,魔法護盾,csk207,skillbook.png,#A0A0A0,learn_skill,mage,,,,17,15000,1500
book208,落雷,csk208,skillbook.png,#A0A0A0,learn_skill,mage,,,,20,18000,1800
book209,奧術空想,csk209,skillbook.png,#A0A0A0,learn_skill,mage,,,,25,23000,2300
book210,連鎖閃電,csk210,skillbook.png,#A0A0A0,learn_skill,mage,,,,29,27000,2700
book211,法師的自我修養 Lv.31,csk211,skillbook.png,#A0A0A0,learn_skill,mage,,,,31,60000,
book301,螺旋拳,csk301,skillbook.png,#A0A0A0,learn_skill,martial,,,,3,3000,300
book302,武鬥之道,csk302,skillbook.png,#A0A0A0,learn_skill,martial,,,,5,5000,500
book303,迴旋踢,csk303,skillbook.png,#A0A0A0,learn_skill,martial,,,,8,8000,800
book304,升龍拳,csk304,skillbook.png,#A0A0A0,learn_skill,martial,,,,11,10000,1000
book305,武道的自我修養 Lv.11,csk305,skillbook.png,#A0A0A0,learn_skill,martial,,,,11,20000,
book306,百裂拳,csk306,skillbook.png,#A0A0A0,learn_skill,martial,,,,15,13000,1300
book307,鬥氣爆發,csk307,skillbook.png,#A0A0A0,learn_skill,martial,,,,17,15000,1500
book308,逆透勁,csk308,skillbook.png,#A0A0A0,learn_skill,martial,,,,20,18000,1800
book309,輕盈步伐,csk309,skillbook.png,#A0A0A0,learn_skill,martial,,,,25,23000,2300
book310,龍捲旋風腿,csk310,skillbook.png,#A0A0A0,learn_skill,martial,,,,29,27000,2700
book311,武道的自我修養 Lv.31,csk311,skillbook.png,#A0A0A0,learn_skill,martial,,,,31,60000,
book401,初級治癒術,csk401,skillbook.png,#A0A0A0,learn_skill,priest,,,,3,3000,300
book402,群體恢復術,csk402,skillbook.png,#A0A0A0,learn_skill,priest,,,,5,5000,500
book403,中級治癒術,csk403,skillbook.png,#A0A0A0,learn_skill,priest,,,,8,8000,800
book404,渴望之劍,csk404,skillbook.png,#A0A0A0,learn_skill,priest,,,,10,10000,1000
book405,魔法之劍,csk405,skillbook.png,#A0A0A0,learn_skill,priest,,,,10,10000,1000
book406,初級防禦術,csk406,skillbook.png,#A0A0A0,learn_skill,priest,,,,10,10000,1000
book407,魔法屏障,csk407,skillbook.png,#A0A0A0,learn_skill,priest,,,,10,10000,1000
book408,生命逆行,csk408,skillbook.png,#A0A0A0,learn_skill,priest,,,,13,11000,1100
book409,聖光追蹤彈,csk409,skillbook.png,#A0A0A0,learn_skill,priest,,,,17,15000,1500
book410,高級治癒術,csk410,skillbook.png,#A0A0A0,learn_skill,priest,,,,20,18000,1800
book411,聖十字懲戒,csk411,skillbook.png,#A0A0A0,learn_skill,priest,,,,27,25000,2500
book501,刺擊,csk501,skillbook.png,#A0A0A0,learn_skill,thief,,,,3,3000,300
book502,暗影之道,csk502,skillbook.png,#A0A0A0,learn_skill,thief,,,,5,5000,500
book503,逆刃,csk503,skillbook.png,#A0A0A0,learn_skill,thief,,,,8,8000,800
book504,毒刃,csk504,skillbook.png,#A0A0A0,learn_skill,thief,,,,11,10000,1000
book505,盜賊的自我修養 Lv.11,csk505,skillbook.png,#A0A0A0,learn_skill,thief,,,,11,20000,
book506,瞬影連刺,csk506,skillbook.png,#A0A0A0,learn_skill,thief,,,,15,13000,1300
book507,二刀連擊,csk507,skillbook.png,#A0A0A0,learn_skill,thief,,,,17,15000,1500
book508,殘影亂斬,csk508,skillbook.png,#A0A0A0,learn_skill,thief,,,,20,18000,1800
book509,消失,csk509,skillbook.png,#A0A0A0,learn_skill,thief,,,,25,23000,2300
book510,致命突刺,csk510,skillbook.png,#A0A0A0,learn_skill,thief,,,,29,27000,2700
book511,盜賊的自我修養 Lv.31,csk511,skillbook.png,#A0A0A0,learn_skill,thief,,,,31,60000,
